"Category","Slug","Name","Version","UUID","AnyGitRef","Path"
"free","better-hotkeys-mouse","Better Hotkeys & Mouse","0.2.1.0","com.packrat.betterhotkeys","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\free\better-hotkeys-mouse"
"icons","minimal","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\minimal"
"icons","minimalanimated","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\minimalanimated"
"icons","neon-black","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-black"
"icons","neon-blue","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-blue"
"icons","neon-green","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-green"
"icons","neon-pink","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-pink"
"icons","neon-purple","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-purple"
"icons","neon-red","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-red"
"icons","neon-white","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-white"
"icons","neon-yellow","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\neon-yellow"
"icons","ultimate-rgb","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\icons\ultimate-rgb"
"plugins","ai-usage-tracker","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\ai-usage-tracker"
"plugins","api-spend","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\api-spend"
"plugins","better-hotkeys-pro","Better Hotkeys & Mouse Pro","1.2.1.0","com.packrat.betterhotkeyspro","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\better-hotkeys-pro"
"plugins","calendar","Calendar Sync Lite","1.0.0.1","com.packrat.calendarsynclite","True","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\calendar"
"plugins","calendar-sync-pro","Calendar Sync Pro","1.1.0.0","com.packrat.calendarsyncpro","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\calendar-sync-pro"
"plugins","clipboard-manager","Clipboard Manager","1.0.0.3","com.packrat.clipboard","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\clipboard-manager"
"plugins","clipboard-manager-pro","Clipboard Manager Pro","1.0.0.0","com.packrat.clipboardpro","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\clipboard-manager-pro"
"plugins","cloud-bill","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\cloud-bill"
"plugins","code-cost","Claude & Codex Cost Lite","1.0.0.2","com.packrat.code-cost","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\code-cost"
"plugins","code-cost-pro","Claude & Codex Cost Pro","1.0.0.0","com.packrat.code-cost-pro","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\code-cost-pro"
"plugins","drawdown-alarm","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\drawdown-alarm"
"plugins","f1-tracker","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\f1-tracker"
"plugins","golf-tracker","","","","False","C:\Users\Key\Videos\Claude Projects\ratpack-projects\plugins\golf-tracker"
