"Category","Slug","LocalVersion","UUID","PathInAnyRef","GitVersions","Decision"
"free","better-hotkeys-mouse","0.2.1.0","com.packrat.betterhotkeys","False","","missing-source"
"icons","minimal","","","False","","missing-source"
"icons","minimalanimated","","","False","","missing-source"
"icons","neon-black","","","False","","missing-source"
"icons","neon-blue","","","False","","missing-source"
"icons","neon-green","","","False","","missing-source"
"icons","neon-pink","","","False","","missing-source"
"icons","neon-purple","","","False","","missing-source"
"icons","neon-red","","","False","","missing-source"
"icons","neon-white","","","False","","missing-source"
"icons","neon-yellow","","","False","","missing-source"
"icons","ultimate-rgb","","","False","","missing-source"
"plugins","ai-usage-tracker","","","False","","missing-source"
"plugins","api-spend","","","False","","missing-source"
"plugins","better-hotkeys-pro","1.2.1.0","com.packrat.betterhotkeyspro","False","","missing-source"
"plugins","calendar","1.0.0.1","com.packrat.calendarsynclite","True","1.0.0.1","already-in-git-path"
"plugins","calendar-sync-pro","1.1.0.0","com.packrat.calendarsyncpro","False","1.2.0.0","renamed-or-version-in-git"
"plugins","clipboard-manager","1.0.0.3","com.packrat.clipboard","False","","missing-source"
"plugins","clipboard-manager-pro","1.0.0.0","com.packrat.clipboardpro","False","","missing-source"
"plugins","cloud-bill","","","False","","missing-source"
"plugins","code-cost","1.0.0.2","com.packrat.code-cost","False","","missing-source"
"plugins","code-cost-pro","1.0.0.0","com.packrat.code-cost-pro","False","","missing-source"
"plugins","drawdown-alarm","","","False","","missing-source"
"plugins","f1-tracker","","","False","","missing-source"
"plugins","golf-tracker","","","False","","missing-source"
"plugins","grid-price","","","False","","missing-source"
"plugins","helldivers-stats","","","False","","missing-source"
"plugins","hwinfo","","","False","","missing-source"
"plugins","mlb-tracker","","","False","","missing-source"
"plugins","nascar-tracker","1.0.0.0","com.packrat.nascar-tracker","False","","missing-source"
"plugins","nba-tracker","1.0.0.0","com.packrat.nba-tracker","False","","missing-source"
"plugins","nfl-tracker","1.0.0.0","com.packrat.nfl-tracker","False","","missing-source"
"plugins","nhl-tracker","1.0.0.0","com.packrat.nhl-tracker","False","","missing-source"
"plugins","rig-cost","","","False","","missing-source"
"plugins","riot-tracker","1.0.0.0","com.packrat.riot-tracker","False","","missing-source"
"plugins","screensaver-cycler","1.0.0.0","com.packrat.screensavercycler","False","","missing-source"
"plugins","soccer-tracker","1.0.0.0","com.packrat.soccer-tracker","False","","missing-source"
"plugins","stream-deck-ultimate","1.0.0.0","com.packrat.stream-deck-ultimate-bundle","True","0.1.0.0,0.2.0.0,0.3.0.0,0.4.0.0,0.5.0.0,0.6.0.0,0.7.0.0,0.7.1.0","already-in-git-path"
"plugins","tennis-tracker","","","False","","missing-source"
"plugins","todo-list","","","False","","missing-source"
"plugins","ufc-tracker","1.0.0.0","com.packrat.ufc-tracker","False","","missing-source"
"plugins","ultimate-sports","1.0.0.0","com.packrat.ultimatesports","False","","missing-source"
"plugins","window-manager","1.0.0.2","com.packrat.windowmanager","True","1.0.0.3,1.0.0.4","already-in-git-path"
"plugins","window-manager-pro","1.1.0.0","com.packrat.windowmanagerpro","True","","already-in-git-path"
"plugins","workflow-automation","1.0.0.2","com.packrat.workflow","False","","missing-source"
"plugins","workflow-automation-pro","1.0.0.1","com.packrat.workflowpro","False","","missing-source"
"profiles","ai-prompts-coach","","","False","","missing-source"
"profiles","ai-prompts-creator","","","False","","missing-source"
"profiles","ai-prompts-developer","","","False","","missing-source"
"profiles","ai-prompts-freelancer","","","False","","missing-source"
"profiles","ai-prompts-lite","","","False","","missing-source"
"profiles","ai-prompts-marketing","","","False","","missing-source"
"profiles","ai-prompt-toolkit","","","False","","missing-source"
"profiles","cs2","","","False","","missing-source"
"profiles","davinci-resolve","","","False","","missing-source"
"profiles","davinci-resolve-lite","","","False","","missing-source"
"profiles","davinci-resolve-pro","","","False","","missing-source"
"profiles","discord-essentials","","","False","","missing-source"
"profiles","dota2","","","False","","missing-source"
"profiles","elite-dangerous","","","False","","missing-source"
"profiles","epic-pen","","","False","","missing-source"
"profiles","epic-pen-pro","","","False","","missing-source"
"profiles","fl-studio","","","False","","missing-source"
"profiles","fortnite","","","False","","missing-source"
"profiles","forza","","","False","","missing-source"
"profiles","foundry-vtt","","","False","","missing-source"
"profiles","league-of-legends","","","False","","missing-source"
"profiles","minecraft","","","False","","missing-source"
"profiles","osrs","","","False","","missing-source"
"profiles","osrs-vsd","","","False","","missing-source"
"profiles","palworld","","","False","","missing-source"
"profiles","satisfactory","","","False","","missing-source"
"profiles","solidworks","","","False","","missing-source"
"profiles","streamer-starter-pack","","","False","","missing-source"
"profiles","streamer-university","","","False","","missing-source"
"profiles","valorant","","","False","","missing-source"
"profiles","vectorworks","","","False","","missing-source"
"profiles","world-of-warcraft","","","False","","missing-source"
"profiles","world-of-warcraft-vsd","","","False","","missing-source"
"widgets/_src","agenda-panel","","","True","","already-in-git-path"
"widgets/_src","ai-usage","","","False","","missing-source"
"widgets/_src","ambient-clock","","","False","","missing-source"
"widgets/_src","crypto-portfolio","","","False","","missing-source"
